127.0.0.1 - - [16/Nov/2024:09:18:46 +0530] "GET / HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:18:47 +0530] "GET /FirstJavaWeb/FirstWeb.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:18:47 +0530] "GET /favicon.ico HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:20:29 +0530] "GET /FirstJavaWeb/FirstWeb.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:21:15 +0530] "GET /FirstJavaWeb/FirstWeb.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:21:17 +0530] "POST /FirstJavaWeb/FirstWebProject HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:21:35 +0530] "POST /FirstJavaWeb/FirstWebProject HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:21:47 +0530] "GET /FirstJavaWeb/FirstWeb.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [16/Nov/2024:09:21:50 +0530] "POST /FirstJavaWeb/FirstWebProject HTTP/1.1" 200 30
